,id,cox,molecularFormula,Zodiac_Score
239,33713_1907_EMPv2_SIRIUS_25873,-1.5,C32H64O8,1.0
240,32293_1907_EMPv2_SIRIUS_31618,0.8571428571428571,C14H21N7O5S,0.05628140703517588
241,28630_1907_EMPv2_SIRIUS_51955,-0.2222222222222222,C36H47N7O9,0.07537688442211057
242,41387_1907_EMPv2_SIRIUS_27213,-1.1333333333333333,C30H52O9,0.9984924623115576
243,23865_1907_EMPv2_SIRIUS_21937,-1.0909090909090908,C33H60N4O6,0.7698492462311558
244,36968_1907_EMPv2_SIRIUS_2941,-1.0,C32H58N6O4,0.9211055276381908
245,31373_1907_EMPv2_SIRIUS_10692,-1.4545454545454546,C22H44NO7P,0.9984924623115576
246,34856_1907_EMPv2_SIRIUS_21896,-1.3571428571428572,C28H56O9,0.20603015075376888
247,2173_1907_EMPv2_SIRIUS_47705,-0.24242424242424243,C33H39N3O11,0.2261306532663317
248,17336_1907_EMPv2_SIRIUS_15181,-1.1428571428571428,C28H55N5O4,1.0
249,44005_1907_EMPv2_SIRIUS_19752,0.125,C16H15ClO8,0.9964824120603012
250,4559_1907_EMPv2_SIRIUS_14724,-1.0,C24H50O13,0.9994974874371858
251,12451_1907_EMPv2_SIRIUS_53614,-1.037037037037037,C27H45NO6S,1.0
252,23571_1907_EMPv2_SIRIUS_40473,-0.9655172413793104,C29H47NO7S,0.9984924623115576
253,18043_1907_EMPv2_SIRIUS_33069,-1.1333333333333333,C30H52O9,1.0
254,36022_1907_EMPv2_SIRIUS_26577,-1.36,C25H50O8,1.0
255,29999_1907_EMPv2_SIRIUS_25462,-0.18181818181818182,C11H25N5O4,1.0
256,15452_1907_EMPv2_SIRIUS_38212,-0.6896551724137931,C29H50N6O6,0.04623115577889448
257,15941_1907_EMPv2_SIRIUS_51657,-0.37037037037037035,C27H49N7O9,0.8964824120603015
258,14968_1907_EMPv2_SIRIUS_15151,-1.1428571428571428,C28H55N5O4,1.0
259,17495_1907_EMPv2_SIRIUS_51066,-1.15,C40H65N3O5,0.8015075376884424
260,4338_1907_EMPv2_SIRIUS_20873,-1.6666666666666667,C18H33O3PS,0.4045226130653266
261,15497_1907_EMPv2_SIRIUS_41715,-0.12121212121212122,C33H40N6O8S,0.012060301507537688
262,29928_1907_EMPv2_SIRIUS_56772,-0.43478260869565216,C23H42N4O10,0.0135678391959799
263,10173_1907_EMPv2_SIRIUS_39521,-1.1612903225806452,C31H58N5O6P,0.8603015075376885
264,44519_1907_EMPv2_SIRIUS_43677,1.3333333333333333,C15H17N7O7S,0.1547738693467337
265,36135_1907_EMPv2_SIRIUS_43746,0.5714285714285714,C21H24N6O6S3,0.031658291457286436
266,44582_1907_EMPv2_SIRIUS_55341,-1.25,C40H69N3O5,0.010050251256281407
267,37171_1907_EMPv2_SIRIUS_38659,-1.5789473684210527,C19H38NO5P,1.0
268,28747_1907_EMPv2_SIRIUS_29455,-0.8333333333333334,C24H43NO10,0.1321608040201005
269,22028_1907_EMPv2_SIRIUS_2760,-1.5555555555555556,C36H69NO5,0.8698492462311559
270,31705_1907_EMPv2_SIRIUS_46687,-1.0769230769230769,C39H58O8,0.9989949748743716
271,45096_1907_EMPv2_SIRIUS_44888,-0.2222222222222222,C27H49N9O8,0.9683417085427136
272,13293_1907_EMPv2_SIRIUS_26904,-1.0,C20H39NO8,1.0
273,43241_1907_EMPv2_SIRIUS_22725,-1.096774193548387,C31H58N4O6,0.01256281407035176
274,36320_1907_EMPv2_SIRIUS_57844,-1.096774193548387,C31H57N5O4,0.8090452261306533
275,46324_1907_EMPv2_SIRIUS_41909,0.6086956521739131,C23H21N7O7,0.03618090452261307
276,27721_1907_EMPv2_SIRIUS_13099,0.47058823529411764,C17H18N2O10,0.1035175879396985
277,21801_1907_EMPv2_SIRIUS_29376,-0.46153846153846156,C39H49N3O11,0.6668341708542715
278,42859_1907_EMPv2_SIRIUS_51801,-0.2857142857142857,C35H38ClN5O6,0.011055276381909548
279,49782_1907_EMPv2_SIRIUS_41911,-0.8780487804878049,C41H58N2O8,0.4728643216080402
280,22647_1907_EMPv2_SIRIUS_32787,-1.25,C24H49NO8,1.0
281,14513_1907_EMPv2_SIRIUS_38491,0.0,C15H25N6O6P,0.03165829145728643
